De_km;Ate_km;R$/t;de 1 a 10 kg;de 11 a 20 kg;de 21 a 30 kg;de 31 a 50 kg;de 51 a 70 kg;de 71 a 100 kg;de 101 a 150 kg;de 151 a 200 kg;R$/kg acima 200;Custo Valor (%);TSO (%);GRIS (%)
1;50;940.91;32.93;43.28;49.40;65.86;82.33;105.38;148.19;188.18;0.9409;0.30;0.15;0.30
51;100;975.12;34.13;44.86;51.19;68.26;85.32;109.21;153.58;195.02;0.9751;0.30;0.15;0.30
101;150;1009.33;35.33;46.43;52.99;70.65;88.32;113.05;158.97;201.87;1.0093;0.30;0.15;0.30
151;200;1043.55;36.52;48.00;54.79;73.05;91.31;116.88;164.36;208.71;1.0435;0.30;0.15;0.30
201;250;1077.76;37.72;49.58;56.58;75.44;94.30;120.71;169.75;215.55;1.0778;0.30;0.15;0.30
251;300;1111.97;38.92;51.15;58.38;77.84;97.30;124.54;175.14;222.39;1.1120;0.40;0.17;0.30
301;350;1146.19;40.12;52.72;60.17;80.23;100.29;128.37;180.52;229.24;1.1462;0.40;0.17;0.30
351;400;1180.40;41.31;54.30;61.97;82.63;103.29;132.20;185.91;236.08;1.1804;0.40;0.17;0.30
401;450;1214.61;42.51;55.87;63.77;85.02;106.28;136.04;191.30;242.92;1.2146;0.40;0.17;0.30
451;500;1248.83;43.71;57.45;65.56;87.42;109.27;139.87;196.69;249.77;1.2488;0.40;0.17;0.30
501;550;1458.84;51.06;67.11;76.59;102.12;127.65;163.39;229.77;291.77;1.4588;0.60;0.20;0.30
551;600;1493.05;52.26;68.68;78.39;104.51;130.64;167.22;235.16;298.61;1.4930;0.60;0.20;0.30
601;650;1527.26;53.45;70.25;80.18;106.91;133.64;171.05;240.54;305.45;1.5273;0.60;0.20;0.30
651;700;1561.48;54.65;71.83;81.98;109.30;136.63;174.89;245.93;312.30;1.5615;0.60;0.20;0.30
701;750;1595.69;55.85;73.40;83.77;111.70;139.62;178.72;251.32;319.14;1.5957;0.60;0.20;0.30
751;800;1629.90;57.05;74.98;85.57;114.09;142.62;182.55;256.71;325.98;1.6299;0.60;0.20;0.30
801;850;1664.12;58.24;76.55;87.37;116.49;145.61;186.38;262.10;332.82;1.6641;0.60;0.20;0.30
851;900;1698.33;59.44;78.12;89.16;118.88;148.60;190.21;267.49;339.67;1.6983;0.60;0.20;0.30
901;950;1732.54;60.64;79.70;90.96;121.28;151.60;194.04;272.88;346.51;1.7325;0.60;0.20;0.30
951;1000;1766.76;61.84;81.27;92.75;123.67;154.59;197.88;278.26;353.35;1.7668;0.60;0.20;0.30
1001;1100;2010.98;70.38;92.51;105.58;140.77;175.96;225.23;316.73;402.20;2.0110;0.70;0.22;0.30
1101;1200;2079.41;72.78;95.65;109.17;145.56;181.95;232.89;327.51;415.88;2.0794;0.70;0.22;0.30
1201;1300;2147.83;75.17;98.80;112.76;150.35;187.94;240.56;338.28;429.57;2.1478;0.70;0.22;0.30
1301;1400;2216.26;77.57;101.95;116.35;155.14;193.92;248.22;349.06;443.25;2.2163;0.70;0.22;0.30
1401;1500;2284.69;79.96;105.10;119.95;159.93;199.91;255.88;359.84;456.94;2.2847;0.70;0.22;0.30
1501;1600;2528.91;88.51;116.33;132.77;177.02;221.28;283.24;398.30;505.78;2.5289;0.80;0.24;0.30
1601;1700;2597.34;90.91;119.48;136.36;181.81;227.27;290.90;409.08;519.47;2.5973;0.80;0.24;0.30
1701;1800;2665.76;93.30;122.63;139.95;186.60;233.25;298.57;419.86;533.15;2.6658;0.80;0.24;0.30
1801;1900;2734.19;95.70;125.77;143.54;191.39;239.24;306.23;430.63;546.84;2.7342;0.80;0.24;0.30
1901;2000;2802.62;98.09;128.92;147.14;196.18;245.23;313.89;441.41;560.52;2.8026;0.80;0.24;0.30
2001;2200;3115.26;109.03;143.30;163.55;218.07;272.59;348.91;490.65;623.05;3.1153;0.90;0.26;0.30
2201;2400;3252.12;113.82;149.60;170.74;227.65;284.56;364.24;512.21;650.42;3.2521;0.90;0.26;0.30
2401;2600;3388.97;118.61;155.89;177.92;237.23;296.54;379.56;533.76;677.79;3.3890;0.90;0.26;0.30
2601;2800;3701.62;129.56;170.27;194.34;259.11;323.89;414.58;583.01;740.32;3.7016;1.00;0.28;0.30
2801;3000;3838.47;134.35;176.57;201.52;268.69;335.87;429.91;604.56;767.69;3.8385;1.00;0.28;0.30
3001;3200;4151.12;145.29;190.95;217.93;290.58;363.22;464.93;653.80;830.22;4.1511;1.10;0.29;0.30
3201;3400;4287.98;150.08;197.25;225.12;300.16;375.20;480.25;675.36;857.60;4.2880;1.10;0.29;0.30
3401;3600;4424.83;154.87;203.54;232.30;309.74;387.17;495.58;696.91;884.97;4.4248;1.10;0.30;0.30
3601;3800;4561.68;159.66;209.84;239.49;319.32;399.15;510.91;718.47;912.34;4.5617;1.20;0.30;0.30
3801;4000;4698.54;164.45;216.13;246.67;328.90;411.12;526.24;740.02;939.71;4.6985;1.20;0.30;0.30
4001;4200;4835.39;169.24;222.43;253.86;338.48;423.10;541.56;761.57;967.08;4.8354;1.20;0.30;0.30
4201;4400;4972.25;174.03;228.72;261.04;348.06;435.07;556.89;783.13;994.45;4.9722;1.20;0.30;0.30
4401;4600;5109.10;178.82;235.02;268.23;357.64;447.05;572.22;804.68;1021.82;5.1091;1.20;0.30;0.30
4601;4800;5245.95;183.61;241.31;275.41;367.22;459.02;587.55;826.24;1049.19;5.2460;1.20;0.30;0.30
4801;5000;5382.81;188.40;247.61;282.60;376.80;471.00;602.87;847.79;1076.56;5.3828;1.20;0.30;0.30
5001;5200;5519.66;193.19;253.90;289.78;386.38;482.97;618.20;869.35;1103.93;5.5197;1.20;0.30;0.30
5201;5400;5656.51;197.98;260.20;296.97;395.96;494.94;633.53;890.90;1131.30;5.6565;1.20;0.30;0.30
5401;5600;5793.37;202.77;266.49;304.15;405.54;506.92;648.86;912.46;1158.67;5.7934;1.20;0.30;0.30
5601;5800;5930.22;207.56;272.79;311.34;415.12;518.89;664.18;934.01;1186.04;5.9302;1.20;0.30;0.30
5801;6000;6067.08;212.35;279.09;318.52;424.70;530.87;679.51;955.56;1213.42;6.0671;1.20;0.30;0.30
